"report_id","date_time","police_beat","street_no","street_dir","street_name","street_type","cross_st_dir","cross_st_name","cross_st_type","violation_section","violation_type","charge_desc","injured","killed","hit_run_lvl"
"170271","2017-01-02 18:45:00","621","6900"," ","LINDA VISTA","ROAD"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","MISDEMEANOR"
"170108","2017-01-03 00:01:00","937","17900"," ","SAN DIEGUITO","ROAD"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","MISDEMEANOR"
"170103","2017-01-03 00:01:00","115","9100"," ","TOWNE CENTRE","DRIVE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170092","2017-01-03 00:02:00","813","2900"," ","LINCOLN","AVENUE"," "," "," ","21703","VC","FOLLOWING TOO CLOSELY","0","0","MISDEMEANOR"
"170112","2017-01-03 00:02:00","838","3300"," ","LINCOLN","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0","MISDEMEANOR"
"170079","2017-01-03 03:20:00","327","6900"," ","ALVARADO","ROAD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
"170047","2017-01-03 04:30:00","242","10200"," ","BLACK MTN","ROAD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170439","2017-01-03 07:35:00","111","0"," ","BALBOA","AVENUE"," ","MT ABERNATHY","AVENUE","21755","VC","PASS ON THE RIGHT SAFELY","0","0",""
"170131","2017-01-03 09:00:00","315","2200"," ","RIVER RUN","DRIVE"," "," "," ","21804","VC","ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY","1","0",""
"170130","2017-01-03 09:26:00","313","7300"," ","CLAIREMONT MESA","BOULEVARD"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","2","0",""
"170134","2017-01-03 10:30:00","934","3400"," ","DEL MAR HEIGHTS","ROAD"," "," "," ","21954A","VC","PEDESTRIANS OUTSIDE CROSSWALKS","1","0",""
"170110","2017-01-03 11:39:00","515","2700"," ","K","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170178","2017-01-03 12:30:00","934","3800"," ","VALLEY CENTRE","DRIVE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170102","2017-01-03 13:40:00","243","8900"," ","ACTIVITY","ROAD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170225","2017-01-03 13:49:00","315","8500"," ","RIO SAN DIEGO","DRIVE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"171061","2017-01-03 14:15:00","725","0"," ","OCEAN VIEW"," "," ","SEA FIRE","POINT","22450(A)","VC","STOP REQUIREMENTS STATE STOP LINE","1","0",""
"171777","2017-01-03 14:30:00","432","200"," ","SAN JACINTO","DRIVE"," "," "," ","22655A","VC","IMPOUND VEHICLE FOR HIT AND RUN INVESTIGATION","0","0","MISDEMEANOR"
"170141","2017-01-03 14:43:00","326","5500"," ","MONTEZUMA","ROAD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0",""
